[0318/075928.926:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Application/Adobe%20Photoshop/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0318/082334.478:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/082334.557:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/091508.951:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/154450.623:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/184449.915:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/184450.477:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/184450.650:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/184454.960:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/074746.507:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/074813.926:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/074818.944:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/090717.212:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/090717.306:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/091133.643:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/091134.141:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/101147.691:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/101147.857:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/101147.967:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/101321.320:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0319/101321.369:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0326/152941.441:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0401/110417.998:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0702/132637.467:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0702/132638.533:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0702/132638.602:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
